,Waktu,Pipi
912,04:51.2,316
913,04:51.2,311
914,04:51.2,307
915,04:51.2,309
916,04:51.2,312
917,04:51.3,310
918,04:51.3,312
919,04:51.3,315
920,04:51.3,312
921,04:51.3,310
922,04:51.3,308
923,04:51.3,309
924,04:51.3,317
925,04:51.3,318
926,04:51.3,313
927,04:51.3,309
928,04:51.3,308
929,04:51.3,306
930,04:51.3,304
931,04:51.4,302
932,04:51.4,305
933,04:51.4,307
934,04:51.4,314
935,04:51.4,311
936,04:51.4,312
937,04:51.4,315
938,04:51.4,314
939,04:51.4,310
940,04:51.4,307
941,04:51.4,306
942,04:51.4,316
943,04:51.4,323
944,04:51.4,318
945,04:51.5,315
946,04:51.5,318
947,04:51.5,324
948,04:51.5,331
949,04:51.5,334
950,04:51.5,333
951,04:51.5,328
952,04:51.5,326
953,04:51.5,327
954,04:51.5,324
955,04:51.5,323
956,04:51.5,327
957,04:51.5,329
958,04:51.5,326
959,04:51.6,321
960,04:51.6,322
961,04:51.6,331
962,04:51.6,333
963,04:51.6,331
964,04:51.6,329
965,04:51.6,334
966,04:51.6,339
967,04:51.6,337
968,04:51.6,335
969,04:51.6,330
970,04:51.6,325
971,04:51.6,330
972,04:51.6,327
973,04:51.7,324
974,04:51.7,322
975,04:51.7,321
976,04:51.7,319
977,04:51.7,317
978,04:51.7,315
979,04:51.7,318
980,04:51.7,325
981,04:51.7,324
982,04:51.7,321
983,04:51.7,324
984,04:51.7,327
985,04:51.7,328
986,04:51.8,324
987,04:51.8,320
988,04:51.8,316
989,04:51.8,317
990,04:51.8,325
991,04:51.8,323
992,04:51.8,322
993,04:51.8,322
994,04:51.8,320
995,04:51.8,317
996,04:51.8,311
997,04:51.8,310
998,04:51.8,321
999,04:51.9,321
