,Waktu,pipi,alis,Pipi,Alis
223,21:28.4,54,319,0.263671875,1.557617188
224,21:28.4,54,322,0.263671875,1.572265625
225,21:28.4,54,324,0.263671875,1.58203125
226,21:28.4,53,327,0.258789063,1.596679688
227,21:28.4,54,328,0.263671875,1.6015625
228,21:28.4,55,334,0.268554688,1.630859375
229,21:28.4,54,340,0.263671875,1.66015625
230,21:28.4,54,346,0.263671875,1.689453125
231,21:28.4,53,350,0.258789063,1.708984375
232,21:28.4,55,353,0.268554688,1.723632813
233,21:28.4,54,350,0.263671875,1.708984375
234,21:28.4,54,345,0.263671875,1.684570313
235,21:28.4,54,342,0.263671875,1.669921875
236,21:28.4,53,342,0.258789063,1.669921875
237,21:28.4,53,342,0.258789063,1.669921875
238,21:28.4,53,343,0.258789063,1.674804688
239,21:28.4,54,347,0.263671875,1.694335938
240,21:28.5,54,354,0.263671875,1.728515625
241,21:28.5,53,367,0.258789063,1.791992188
242,21:28.5,54,377,0.263671875,1.840820313
243,21:28.5,55,381,0.268554688,1.860351563
244,21:28.5,53,380,0.258789063,1.85546875
245,21:28.5,54,377,0.263671875,1.840820313
246,21:28.5,54,375,0.263671875,1.831054688
247,21:28.5,53,377,0.258789063,1.840820313
248,21:28.5,54,379,0.263671875,1.850585938
249,21:28.5,54,380,0.263671875,1.85546875
250,21:28.5,54,387,0.263671875,1.889648438
251,21:28.5,54,397,0.263671875,1.938476563
252,21:28.5,53,398,0.258789063,1.943359375
253,21:28.5,54,396,0.263671875,1.93359375
254,21:28.5,54,389,0.263671875,1.899414063
255,21:28.5,53,382,0.258789063,1.865234375
256,21:28.5,53,374,0.258789063,1.826171875
257,21:28.5,52,369,0.25390625,1.801757813
258,21:28.5,52,366,0.25390625,1.787109375
259,21:28.5,52,361,0.25390625,1.762695313
260,21:28.5,53,362,0.258789063,1.767578125
261,21:28.5,54,364,0.263671875,1.77734375
262,21:28.5,53,365,0.258789063,1.782226563
263,21:28.5,53,368,0.258789063,1.796875
264,21:28.5,55,375,0.268554688,1.831054688
265,21:28.5,53,375,0.258789063,1.831054688
266,21:28.5,53,372,0.258789063,1.81640625
267,21:28.5,53,368,0.258789063,1.796875
268,21:28.6,52,370,0.25390625,1.806640625
269,21:28.6,53,373,0.258789063,1.821289063
270,21:28.6,53,375,0.258789063,1.831054688
271,21:28.6,53,378,0.258789063,1.845703125
272,21:28.6,53,379,0.258789063,1.850585938
273,21:28.6,53,384,0.258789063,1.875
274,21:28.6,54,393,0.263671875,1.918945313
275,21:28.6,53,395,0.258789063,1.928710938
276,21:28.6,53,396,0.258789063,1.93359375
277,21:28.6,54,395,0.263671875,1.928710938
278,21:28.6,53,388,0.258789063,1.89453125
279,21:28.6,52,387,0.25390625,1.889648438
280,21:28.6,53,390,0.258789063,1.904296875
281,21:28.6,53,393,0.258789063,1.918945313
282,21:28.6,53,395,0.258789063,1.928710938
283,21:28.6,53,395,0.258789063,1.928710938
284,21:28.6,52,393,0.25390625,1.918945313
285,21:28.6,55,397,0.268554688,1.938476563
286,21:28.6,54,413,0.263671875,2.016601563
287,21:28.6,53,439,0.258789063,2.143554688
288,21:28.6,54,451,0.263671875,2.202148438
289,21:28.6,53,446,0.258789063,2.177734375
290,21:28.6,52,441,0.25390625,2.153320313
291,21:28.6,52,438,0.25390625,2.138671875
292,21:28.6,54,432,0.263671875,2.109375
293,21:28.6,54,432,0.263671875,2.109375
294,21:28.6,53,432,0.258789063,2.109375
295,21:28.6,54,433,0.263671875,2.114257813
296,21:28.6,55,436,0.268554688,2.12890625
297,21:28.7,54,436,0.263671875,2.12890625
298,21:28.7,54,434,0.263671875,2.119140625
299,21:28.7,54,437,0.263671875,2.133789063
300,21:28.7,53,445,0.258789063,2.172851563
301,21:28.7,54,456,0.263671875,2.2265625
302,21:28.7,54,464,0.263671875,2.265625
303,21:28.7,54,465,0.263671875,2.270507813
304,21:28.7,54,462,0.263671875,2.255859375
305,21:28.7,53,456,0.258789063,2.2265625
306,21:28.7,55,454,0.268554688,2.216796875
